graph,n,m,s,p1n,p1m,p1s,p2n,p2m,p2s,p3n,p3m,p3s,p4n,p4m,p4s,p5n,p5m,p5s,p6n,p6m,p6s,p7n,p7m,p7s,p8n,p8m,p8s,p9n,p9m,p9s,p10n,p10m,p10s,p11n,p11m,p11s,p12n,p12m,p12s,p13n,p13m,p13s,p14n,p14m,p14s,p15n,p15m,p15s,p16n,p16m,p16s,p17n,p17m,p17s,p18n,p18m,p18s,p19n,p19m,p19s,p20n,p20m,p20s,ph1n,ph1m,ph1s,ph2n,ph2m,ph2s,ph3n,ph3m,ph3s,ph4n,ph4m,ph4s,ph5n,ph5m,ph5s,ph6n,ph6m,ph6s,ph7n,ph7m,ph7s,ph8n,ph8m,ph8s,ph9n,ph9m,ph9s,ph10n,ph10m,ph10s,ph11n,ph11m,ph11s,ph12n,ph12m,ph12s,ph13n,ph13m,ph13s,ph14n,ph14m,ph14s,ph15n,ph15m,ph15s,ph16n,ph16m,ph16s,ph17n,ph17m,ph17s,ph18n,ph18m,ph18s,ph19n,ph19m,ph19s,ph20n,ph20m,ph20s,ph21n,ph21m,ph21s,ph22n,ph22m,ph22s,ph23n,ph23m,ph23s,ph24n,ph24m,ph24s,ph25n,ph25m,ph25s,ph26n,ph26m,ph26s,ph27n,ph27m,ph27s,ph28n,ph28m,ph28s,ph29n,ph29m,ph29s,ph30n,ph30m,ph30s,ph31n,ph31m,ph31s,ph32n,ph32m,ph32s,ph33n,ph33m,ph33s,ph34n,ph34m,ph34s,ph35n,ph35m,ph35s,ph36n,ph36m,ph36s,ph37n,ph37m,ph37s,ph38n,ph38m,ph38s,ph39n,ph39m,ph39s,ph40n,ph40m,ph40s,a1n,a1m,a1s,a2n,a2m,a2s,a3n,a3m,a3s,a4n,a4m,a4s,ahF1n,ahF1m,ahF1s,ahF2n,ahF2m,ahF2s,ahF3n,ahF3m,ahF3s,ahF4n,ahF4m,ahF4s,ahF5n,ahF5m,ahF5s,ahF6n,ahF6m,ahF6s,ahF7n,ahF7m,ahF7s,ahF8n,ahF8m,ahF8s,ahF9n,ahF9m,ahF9s,ahF10n,ahF10m,ahF10s,ahF11n,ahF11m,ahF11s,ahF12n,ahF12m,ahF12s,ahF13n,ahF13m,ahF13s,ahF14n,ahF14m,ahF14s,ahF15n,ahF15m,ahF15s,ahF16n,ahF16m,ahF16s,ahF17n,ahF17m,ahF17s,ahF18n,ahF18m,ahF18s,ahF19n,ahF19m,ahF19s,ahF20n,ahF20m,ahF20s,ahFlower1n,ahFlower1m,ahFlower1s,ahFlower2n,ahFlower2m,ahFlower2s,ahFlower3n,ahFlower3m,ahFlower3s,ahFlower4n,ahFlower4m,ahFlower4s,ahFlower5n,ahFlower5m,ahFlower5s,ahFlower6n,ahFlower6m,ahFlower6s,ahFlower7n,ahFlower7m,ahFlower7s,ahFlower8n,ahFlower8m,ahFlower8s,ahFlower9n,ahFlower9m,ahFlower9s,ahFlower10n,ahFlower10m,ahFlower10s,ahFlower11n,ahFlower11m,ahFlower11s,ahFlower12n,ahFlower12m,ahFlower12s,ahFlower13n,ahFlower13m,ahFlower13s,ahFlower14n,ahFlower14m,ahFlower14s,ahFlower15n,ahFlower15m,ahFlower15s,ahFlower16n,ahFlower16m,ahFlower16s,ahFlower17n,ahFlower17m,ahFlower17s,ahFlower18n,ahFlower18m,ahFlower18s,ahFlower19n,ahFlower19m,ahFlower19s,ahFlower20n,ahFlower20m,ahFlower20s,ahEdge1n,ahEdge1m,ahEdge1s,ahEdge2n,ahEdge2m,ahEdge2s,ahEdge3n,ahEdge3m,ahEdge3s,ahEdge4n,ahEdge4m,ahEdge4s,ahEdge5n,ahEdge5m,ahEdge5s,ahEdge6n,ahEdge6m,ahEdge6s,ahEdge7n,ahEdge7m,ahEdge7s,ahEdge8n,ahEdge8m,ahEdge8s,ahEdge9n,ahEdge9m,ahEdge9s,ahEdge10n,ahEdge10m,ahEdge10s,ahEdge11n,ahEdge11m,ahEdge11s,ahEdge12n,ahEdge12m,ahEdge12s,ahEdge13n,ahEdge13m,ahEdge13s,ahEdge14n,ahEdge14m,ahEdge14s,ahEdge15n,ahEdge15m,ahEdge15s,ahEdge16n,ahEdge16m,ahEdge16s,ahEdge17n,ahEdge17m,ahEdge17s,ahEdge18n,ahEdge18m,ahEdge18s,ahEdge19n,ahEdge19m,ahEdge19s,ahEdge20n,ahEdge20m,ahEdge20s,ahDiameter1n,ahDiameter1m,ahDiameter1s,ahDiameter2n,ahDiameter2m,ahDiameter2s,ahDiameter3n,ahDiameter3m,ahDiameter3s,ahDiameter4n,ahDiameter4m,ahDiameter4s,ahDiameter5n,ahDiameter5m,ahDiameter5s,ahDiameter6n,ahDiameter6m,ahDiameter6s,ahDiameter7n,ahDiameter7m,ahDiameter7s,ahDiameter8n,ahDiameter8m,ahDiameter8s,ahDiameter9n,ahDiameter9m,ahDiameter9s,ahDiameter10n,ahDiameter10m,ahDiameter10s,ahDiameter11n,ahDiameter11m,ahDiameter11s,ahDiameter12n,ahDiameter12m,ahDiameter12s,ahDiameter13n,ahDiameter13m,ahDiameter13s,ahDiameter14n,ahDiameter14m,ahDiameter14s,ahDiameter15n,ahDiameter15m,ahDiameter15s,ahDiameter16n,ahDiameter16m,ahDiameter16s,ahDiameter17n,ahDiameter17m,ahDiameter17s,ahDiameter18n,ahDiameter18m,ahDiameter18s,ahDiameter19n,ahDiameter19m,ahDiameter19s,ahDiameter20n,ahDiameter20m,ahDiameter20s,t1n,t1m,t1s,t2n,t2m,t2s,t3n,t3m,t3s,t4n,t4m,t4s,t5n,t5m,t5s,t6n,t6m,t6s,t7n,t7m,t7s,t8n,t8m,t8s,t9n,t9m,t9s,t10n,t10m,t10s,alln,allm,alls,kerneln,kernelm,kernels,combin,combim,combis
SingleTreeAntler_F=55_K=6_R=55_A=3_M=1_V1,116,437,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,,,,,,,,,,,,,,,,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,55,300,6,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,,,,,,,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,55,300,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,73,394,0,55,300,6,73,394,0,55,300,6
SingleTreeAntler_F=95_K=7_R=15_A=5_M=1_V2,117,168,0,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,,,,,,,,,,,,,,,,35,79,1,35,79,1,35,79,1,35,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,35,79,1,0,0,11,0,0,11,,,,,,,0,0,11,27,79,1,0,0,11
PathAntlerH_F=80_K=9_R=30_A=5_M=1_V1,119,257,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,28,84,9,28,84,9,28,84,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,28,84,9,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,62,185,1,28,84,9,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,,,,,,,,,,,,,,,,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,28,84,9,28,84,9,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,67,205,0,,,,,,,28,84,9,62,205,0,27,84,9
PathAntler_F=95_K=10_R=15_A=10_M=1_V1,120,215,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,70,165,0,70,165,0,70,165,0,,,,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,13,27,10,0,0,14,0,0,14,13,27,10,31,67,6,43,95,4,13,27,10,13,27,10,31,67,6,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,70,165,0,,,,,,,,,,0,0,14,57,147,1,0,0,14
PathAntler_F=65_K=10_R=45_A=5_M=1_V2,120,392,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,,,,,,,,,,,,,,,,,,,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,61,269,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,,,,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,82,354,0,53,236,7,53,236,7,53,236,7,53,236,7,53,236,7,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,82,354,0,,,,53,236,7,76,354,0,46,206,9
PathAntlerH_F=50_K=16_R=60_A=9_M=1_V2,126,711,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,,,,,,,,,,,,,,,,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,,,,,,,,,,,,,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,109,645,2,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,114,699,0,109,698,0,109,698,0
SingleTreeAntler_F=50_K=6_R=60_A=4_M=2_V2,172,655,0,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,,,,,,,,,,,,,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,564,1,98,564,1,73,438,7,61,376,11,98,564,1,98,564,1,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,87,514,3,80,469,6,87,514,3,87,514,3,87,514,3,87,514,3,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,80,466,6,98,564,1,98,564,1,98,564,1,,,,,,,,,,,,,,,,,,,,,,98,564,1,98,564,1,92,536,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,564,1,98,564,1,98,564,1,98,564,1,98,564,1,73,438,7,78,464,6,92,536,2,80,469,6,92,536,2,98,564,1,92,536,2,61,376,11,98,564,1,92,536,2,73,438,7,98,564,1,92,536,2,98,564,1,61,376,11,98,564,1,98,564,1,98,564,1,92,541,2,92,541,2,73,437,8,80,481,5,80,481,5,80,481,5,,,,61,376,11,89,541,2,61,376,11
SingleTreeAntler_F=60_K=5_R=50_A=3_M=2_V1,180,536,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,,,,,,,,,,,,,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,442,0,69,364,4,69,364,4,51,267,9,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,86,442,0,69,364,4,69,364,4,69,364,4,69,364,4,86,442,0,69,364,4,69,364,4,69,364,4,69,364,4,,,,,,,,,,,,,,,,,,,86,442,0,69,364,4,69,364,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,442,0,69,364,4,86,442,0,86,442,0,69,364,4,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,51,267,9,69,364,4,51,267,9,51,267,9,51,267,9,86,442,0,86,442,0,86,442,0,86,442,0,69,364,4,64,326,6,64,326,6,64,326,6,64,326,6,64,326,6,51,267,9,79,441,0,51,267,9
PathAntler_F=50_K=10_R=60_A=7_M=2_V2,180,786,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,,,,,,,,,,,,,,,,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,60,332,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,744,0,138,744,0,138,744,0,,,,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,98,522,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,133,713,1,138,744,0,138,744,0,133,713,1,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,138,744,0,,,,60,332,20,126,714,1,60,332,20
AntlerH_F=60_K=9_R=50_A=4_M=2_V1,187,654,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,,,,,,,,,,,,,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,581,0,114,581,0,114,581,0,,,,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,91,471,5,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,,,,,,,,,,,,,,,,,,,,,,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,104,528,2,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,104,528,2,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,114,581,0,,,,114,581,0,96,541,2,89,488,4
PathAntlerH_F=50_K=14_R=60_A=10_M=2_V1,188,1021,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,,,,,,,,,,,,,,,,,,,,,,,,,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,122,708,11,122,708,11,62,401,26,62,401,26,62,401,26,62,401,26,62,401,26,62,401,26,62,401,26,62,401,26,62,401,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,999,0,166,999,0,166,999,0,,,,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,161,965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,166,999,0,,,,,,,62,401,26,148,938,2,62,401,26
SingleTreeAntler_F=70_K=7_R=40_A=5_M=2_V1,194,469,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,,,,,,,,,,,,,,,,,,,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,368,0,93,368,0,93,368,0,,,,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,69,262,7,93,368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,368,0,93,368,0,93,368,0,84,329,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,69,262,7,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,38,146,14,,,,,,,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,93,368,0,69,262,7,,,,,,,,,,64,243,7,87,369,0,62,243,7
